Name,Category,Type,Version,Description,Install Command,Documentation URL,Workflows,MCP Connected,Status
web-design-guidelines,AI/Agent,Skill,,Review UI code for Web Interface Guidelines compliance,npx skills add vercel-labs/agent-skills --skill web-design-guidelines -g,https://github.com/vercel-labs/agent-skills,"UI review, accessibility audit, UX check",N/A,Active
vercel-composition-patterns,AI/Agent,Skill,,React composition patterns that scale,npx skills add vercel-labs/agent-skills --skill vercel-composition-patterns -g,https://github.com/vercel-labs/agent-skills,"Component refactoring, compound components, render props",N/A,Active
agent-browser,AI/Agent,Skill,,Browser automation CLI for AI agents,npx skills add vercel-labs/agent-browser -g,https://github.com/vercel-labs/agent-browser,"Navigate pages, fill forms, take screenshots, scrape data",N/A,Active
skill-creator,AI/Agent,Skill,,Guide for creating effective custom skills,npx skills add vercel-labs/agent-browser -g,https://github.com/vercel-labs/agent-browser,"Design skills, package with scripts, publish to registry",N/A,Active
browser-use,AI/Agent,Skill,,Web testing and data extraction via browser,npx skills add browser-use/browser-use -g,https://github.com/browser-use/browser-use,"Test web apps, fill forms, extract page data",N/A,Active
vercel-react-native-skills,AI/Agent,Skill,,React Native and Expo best practices,npx skills add vercel-labs/agent-skills --skill vercel-react-native-skills -g,https://github.com/vercel-labs/agent-skills,"Mobile app development, list performance, animations, native modules",N/A,Active
react-19,AI/Agent,Skill,,React 19 patterns and breaking changes vs React 18,npx skills add noklip-io/agent-skills --skill react-19 -g,https://github.com/noklip-io/agent-skills,"React 19 migration, new hooks, ref as prop, Actions API",N/A,Active
frontend-design,AI/Agent,Skill,,Production-grade frontend interfaces with high design quality,npx skills add anthropics/skills --skill frontend-design -g,https://github.com/anthropics/skills,"Build web components, landing pages, dashboards, polished UI",N/A,Active
pdf,AI/Agent,Skill,,PDF manipulation toolkit,npx skills add anthropics/skills --skill pdf -g,https://github.com/anthropics/skills,"Extract text/tables, merge/split PDFs, create new PDFs, OCR",N/A,Active
pptx,AI/Agent,Skill,,Presentation creation editing and analysis,npx skills add anthropics/skills --skill pptx -g,https://github.com/anthropics/skills,"Create slide decks, edit presentations, extract content",N/A,Active
xlsx,AI/Agent,Skill,,Spreadsheet creation editing and analysis,npx skills add anthropics/skills --skill xlsx -g,https://github.com/anthropics/skills,"Create spreadsheets, formulas, formatting, data analysis",N/A,Active
docx,AI/Agent,Skill,,Word document creation editing and analysis,npx skills add anthropics/skills --skill docx -g,https://github.com/anthropics/skills,"Create Word docs, tracked changes, formatting, TOC",N/A,Active
web-artifacts-builder,AI/Agent,Skill,,Multi-component web artifact builder,npx skills add anthropics/skills --skill web-artifacts-builder -g,https://github.com/anthropics/skills,"Complex React artifacts, state management, routing, shadcn/ui",N/A,Active
webapp-testing,AI/Agent,Skill,,Playwright toolkit for testing web apps,npx skills add anthropics/skills --skill webapp-testing -g,https://github.com/anthropics/skills,"Frontend testing, screenshots, browser logs, UI verification",N/A,Active
next-best-practices,AI/Agent,Skill,,Next.js file conventions RSC boundaries and data patterns,npx skills add vercel-labs/next-skills --skill next-best-practices -g,https://github.com/vercel-labs/next-skills,"Next.js architecture, RSC, metadata, error handling, optimization",N/A,Active
next-cache-components,AI/Agent,Skill,,Next.js 16 Cache Components PPR and caching,npx skills add vercel-labs/next-skills --skill next-cache-components -g,https://github.com/vercel-labs/next-skills,"PPR, use cache directive, cacheLife, cacheTag, updateTag",N/A,Active
next-upgrade,AI/Agent,Skill,,Upgrade Next.js to latest version,npx skills add vercel-labs/next-skills --skill next-upgrade -g,https://github.com/vercel-labs/next-skills,"Next.js version migration, codemods, breaking changes",N/A,Active
Supabase MCP,Data,MCP Server,,Database auth and edge functions via MCP,Built-in (Claude Code),https://supabase.com/docs,"Query DB, run migrations, deploy functions, manage storage",Yes,Active
Chrome/Browser MCP,AI/Agent,MCP Server,,Browser automation and page interaction,Claude in Chrome extension,https://chromewebstore.google.com,"Navigate pages, read DOM, fill forms, take screenshots, run JS",Yes,Active
Mermaid Diagram MCP,AI/Agent,MCP Server,,Diagram rendering and validation,Built-in (Claude Code),https://mermaid.js.org/,"Create flowcharts, sequence diagrams, class diagrams, render to image",Yes,Active
Linear MCP,Project Management,MCP Server,,Project management and issue tracking,npx -y linear-mcp-server,https://linear.app/docs,"Create/update issues, track sprints, manage projects, search tasks",Yes,Configured — Needs API Key
Google Workspace MCP,Communication,MCP Server,,Gmail Docs Sheets and Drive integration,npx -y @presto-ai/google-workspace-mcp,https://workspace.google.com,"Read/send email, edit docs, update sheets, manage drive files",Yes,Configured — Needs OAuth
WhatsApp MCP,Communication,MCP Server,,WhatsApp message reading and search,"Cloned to ~/.mcp-servers/whatsapp-mcp, Go bridge built",https://github.com/lharries/whatsapp-mcp,"Read messages, search conversations, send messages",Yes,Configured — Needs QR Scan
iMessage/SMS MCP,Communication,MCP Server,,macOS Messages integration,Cloned to ~/.mcp-servers/mac_messages_mcp,https://github.com/carterlasalle/mac_messages_mcp,"Read iMessages/SMS, search conversations, send messages",Yes,Configured — Needs Full Disk Access
WeChat MCP,Communication,MCP Server,,WeChat message integration,Cloned to ~/.mcp-servers/wechat-mcp,https://github.com/JettChenT/wechat-mcp,"Read WeChat messages, search conversations",Yes,Configured — Needs WeChat Login
Canva MCP,Design,MCP Server,,Design creation and template access,Official Canva MCP server,https://www.canva.dev/docs/connect/mcp-server/,"Create designs, search templates, export PDF/PNG",No,Manual Setup Needed
Fusion 360 MCP,Design,MCP Server,,3D CAD model interaction,AuraFriday Fusion 360 MCP via Autodesk App Store,https://apps.autodesk.com,"Interact with 3D models, query design parameters, export",No,Manual Setup Needed
React,Development,Library,,UI component library,npm install react react-dom,https://react.dev,"Build UI components, manage state, handle events",N/A,Per-Project
Next.js,Development,Framework,,React framework with App Router,npx create-next-app,https://nextjs.org/docs,"SSR/SSG, API routes, file-based routing, RSC",N/A,Per-Project
Tailwind CSS,Development,Library,,Utility-first CSS framework,npm install tailwindcss,https://tailwindcss.com/docs,"Rapid styling, responsive design, dark mode",N/A,Per-Project
shadcn/ui,Development,Library,,Accessible component library,npx shadcn init,https://ui.shadcn.com,"Pre-built accessible components, theming, customization",N/A,Per-Project
GSAP,Development,Library,,Professional animation library,npm install gsap,https://gsap.com/docs,"Timeline animations, scroll triggers, complex motion",N/A,Per-Project
Framer Motion,Development,Library,,React animation library,npm install framer-motion,https://motion.dev,"Declarative animations, gestures, layout animations",N/A,Per-Project
Vercel,Platform,Service,,Hosting and deployment platform,vercel,https://vercel.com/docs,"Deploy apps, preview builds, manage domains, edge functions",N/A,Active
Shopify,Platform,Service,,E-commerce platform,shopify,https://shopify.dev,"Storefront, products, orders, themes, apps",N/A,Active
GitHub,Platform,Service,,Code hosting and collaboration,gh,https://docs.github.com,"Version control, PRs, issues, CI/CD, code review",N/A,Active
Linear,Platform,Service,,Project management,linear.app,https://linear.app/docs,"Issues, projects, cycles, roadmaps, team workflows",N/A,Active
Google Workspace,Platform,Service,,Productivity suite,workspace.google.com,https://workspace.google.com,"Email, docs, sheets, drive, calendar",N/A,Active
WhatsApp,Platform,Service,,Messaging platform,whatsapp.com,https://www.whatsapp.com,"Team communication, file sharing, voice/video",N/A,Active
WeChat,Platform,Service,,Messaging platform (China),wechat.com,https://www.wechat.com,"Team communication, payments, mini programs",N/A,Active
Canva,Platform,Service,,Design platform,canva.com,https://www.canva.com,"Marketing assets, presentations, social media, brand kit",N/A,Active
Autodesk Fusion 360,Platform,Service,,3D CAD and product design,fusion.online.autodesk.com,https://www.autodesk.com/products/fusion-360,"3D modeling, rendering, simulation, manufacturing",N/A,Active
